,Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,Kod stacji,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor
,Wskaźnik,As(cdepoz),BaA(cdepoz),BaP(cdepoz),BbF(cdepoz),BjF(cdepoz),BkF(cdepoz),Cd(cdepoz),DBahA(cdepoz),Hg(cdepoz),IP(cdepoz),Ni(cdepoz),As(cdepoz),BaA(cdepoz),BaP(cdepoz),BbF(cdepoz),BjF(cdepoz),BkF(cdepoz),Cd(cdepoz),DBahA(cdepoz),Hg(cdepoz),IP(cdepoz),Ni(cdepoz),As(cdepoz),BaA(cdepoz),BaP(cdepoz),BbF(cdepoz),BjF(cdepoz),BkF(cdepoz),Cd(cdepoz),DBahA(cdepoz),Hg(cdepoz),IP(cdepoz),Ni(cdepoz)
,Czas uśredniania,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m
,Jednostka,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień
Data od,Data do,DsOsieczow21-As(cdepoz)-1m,DsOsieczow21-BaA(cdepoz)-1m,DsOsieczow21-BaP(cdepoz)-1m,DsOsieczow21-BbF(cdepoz)-1m,DsOsieczow21-BjF(cdepoz)-1m,DsOsieczow21-BkF(cdepoz)-1m,DsOsieczow21-Cd(cdepoz)-1m,DsOsieczow21-DBahA(cdepoz)-1m,DsOsieczow21-Hg(cdepoz)-1m,DsOsieczow21-IP(cdepoz)-1m,DsOsieczow21-Ni(cdepoz)-1m,KpZielBoryTu-As(cdepoz)-1m,KpZielBoryTu-BaA(cdepoz)-1m,KpZielBoryTu-BaP(cdepoz)-1m,KpZielBoryTu-BbF(cdepoz)-1m,KpZielBoryTu-BjF(cdepoz)-1m,KpZielBoryTu-BkF(cdepoz)-1m,KpZielBoryTu-Cd(cdepoz)-1m,KpZielBoryTu-DBahA(cdepoz)-1m,KpZielBoryTu-Hg(cdepoz)-1m,KpZielBoryTu-IP(cdepoz)-1m,KpZielBoryTu-Ni(cdepoz)-1m,WmPuszczaBor-As(cdepoz)-1m,WmPuszczaBor-BaA(cdepoz)-1m,WmPuszczaBor-BaP(cdepoz)-1m,WmPuszczaBor-BbF(cdepoz)-1m,WmPuszczaBor-BjF(cdepoz)-1m,WmPuszczaBor-BkF(cdepoz)-1m,WmPuszczaBor-Cd(cdepoz)-1m,WmPuszczaBor-DBahA(cdepoz)-1m,WmPuszczaBor-Hg(cdepoz)-1m,WmPuszczaBor-IP(cdepoz)-1m,WmPuszczaBor-Ni(cdepoz)-1m
01/01/23 12:00, 2023-01-01 24:00,0.440971,1.7E-5,5.7970000000000001E-3,2.6207999999999999E-2,4.1019999999999997E-3,6.5440000000000003E-3,5.1330000000000001E-2,2.1389999999999998E-3,7.7460000000000003E-3,8.012E-3,0.96010300000000004,,,,,,,,,,,,0.32819999999999999,5.3921999999999998E-2,5.561E-2,9.4335000000000002E-2,4.7504999999999999E-2,3.6135E-2,3.1257E-2,8.7810000000000006E-3,5.7829999999999999E-3,7.2720999999999994E-2,0.65639999999999998
01/01/23 12:00, 2023-01-02 24:00,,,,,,,,,,,,0.32916400000000001,5.7429999999999998E-3,5.7270000000000003E-3,9.92E-3,4.346E-3,3.6749999999999999E-3,3.4944999999999997E-2,5.5199999999999997E-4,1.4090000000000001E-3,6.2560000000000003E-3,0.28181800000000001,,,,,,,,,,,
01/02/23 12:00, 2023-01-29 24:00,0.69272800000000001,3.2849000000000003E-2,3.8485999999999999E-2,0.11369700000000001,4.1167000000000002E-2,4.5518999999999997E-2,6.7890000000000006E-2,2.8639999999999998E-3,8.5990000000000007E-3,5.4809999999999998E-2,0.88131099999999996,,,,,,,,,,,,0.28999999999999998,5.9735999999999997E-2,7.6383999999999994E-2,0.13922200000000001,8.4219000000000002E-2,4.8474999999999997E-2,0.20714299999999999,1.2078E-2,8.286E-3,0.103641,0.393571
01/03/23 12:00, 2023-01-31 24:00,,,,,,,,,,,,0.32586199999999999,1.0115000000000001E-2,1.1561999999999999E-2,2.4062E-2,1.0871E-2,1.0128E-2,1.6292999999999998E-2,1.225E-3,1.3034E-2,2.0829E-2,0.65172399999999997,,,,,,,,,,,
01/30/23 12:00, 2023-02-26 24:00,,,,,,,,,,,,,,,,,,,,,,,0.20749999999999999,3.6566000000000001E-2,3.7074000000000003E-2,7.2116E-2,4.2320999999999998E-2,2.6238999999999998E-2,0.18675,6.0939999999999996E-3,1.66E-2,5.2478999999999998E-2,0.53949999999999998
02/01/23 12:00, 2023-02-28 24:00,,,,,,,,,,,,0.26428600000000002,9.0369999999999999E-3,8.5920000000000007E-3,1.1424E-2,6.2899999999999996E-3,4.9220000000000002E-3,1.3214E-2,5.1999999999999995E-4,1.0571000000000001E-2,1.0914999999999999E-2,0.52857100000000001,,,,,,,,,,,
01/30/23 12:00, 2023-03-01 24:00,0.23160900000000001,,,,,,3.3314000000000003E-2,,9.7879999999999998E-3,,1.1120410000000001,,,,,,,,,,,,,,,,,,,,,,
02/27/23 12:00, 2023-04-02 24:00,,,,,,,,,,,,,,,,,,,,,,,0.4758,3.5982E-2,4.7093999999999997E-2,7.7255000000000004E-2,4.7357999999999997E-2,2.9235000000000001E-2,2.2657E-2,7.4079999999999997E-3,1.8126E-2,5.5559999999999998E-2,0.92894299999999996
03/01/23 12:00, 2023-04-02 24:00,,,,,,,,,,,,0.36212100000000003,1.098E-2,5.4169999999999999E-3,9.0819999999999998E-3,6.417E-3,4.9969999999999997E-3,1.8106000000000001E-2,3.0400000000000002E-4,3.6210000000000001E-3,5.0410000000000003E-3,0.72424200000000005,,,,,,,,,,,
03/02/23 12:00, 2023-04-04 24:00,0.58326599999999995,4.0000000000000003E-5,9.3410000000000003E-3,3.7185000000000003E-2,1.7239000000000001E-2,1.3892E-2,0.102261,4.0000000000000003E-5,5.9100000000000005E-4,1.5335E-2,1.251749,,,,,,,,,,,,,,,,,,,,,,
04/03/23 12:00, 2023-04-30 24:00,,,,,,,,,,,,,,,,,,,,,,,0.88535699999999995,9.4850000000000004E-3,1.4518E-2,2.0035000000000001E-2,6.0010000000000003E-3,8.0330000000000002E-3,5.9820999999999999E-2,1.549E-3,4.7860000000000003E-3,1.3743999999999999E-2,0.622143
04/03/23 12:00, 2023-05-03 24:00,,,,,,,,,,,,0.17096800000000001,1.005E-3,9.5100000000000002E-4,2.5990000000000002E-3,1.3270000000000001E-3,1.0330000000000001E-3,8.548E-3,1.16E-4,7.5230000000000002E-3,1.279E-3,0.34193499999999999,,,,,,,,,,,
04/05/23 12:00, 2023-05-03 24:00,0.55332199999999998,2.4870000000000001E-3,3.398E-3,1.1952000000000001E-2,3.13E-3,3.8379999999999998E-3,5.3096999999999998E-2,4.0700000000000003E-4,8.0339999999999995E-3,5.7029999999999997E-3,0.60641900000000004,,,,,,,,,,,,,,,,,,,,,,
05/01/23 12:00, 2023-05-28 24:00,,,,,,,,,,,,,,,,,,,,,,,0.46800000000000003,7.1929999999999997E-3,1.7385000000000001E-2,1.6924000000000002E-2,6.7860000000000004E-3,7.4099999999999999E-3,6.8000000000000005E-2,1.2620000000000001E-3,4.4000000000000003E-3,1.3150999999999999E-2,2.0579999999999998
05/04/23 12:00, 2023-05-31 24:00,0.29243599999999997,2.1999999999999999E-5,2.1999999999999999E-5,2.6640000000000001E-3,2.1999999999999999E-5,3.7399999999999998E-4,9.8364999999999994E-2,2.1999999999999999E-5,1.1616E-2,8.5899999999999995E-4,0.39744699999999999,0.108929,1.15E-3,1.9910000000000001E-3,4.8320000000000004E-3,1.704E-3,1.2979999999999999E-3,2.2221000000000001E-2,5.0500000000000002E-4,1.0889999999999999E-3,3.124E-3,0.217857,,,,,,,,,,,
05/29/23 12:00, 2023-07-02 24:00,,,,,,,,,,,,,,,,,,,,,,,1.032429,2.3410000000000002E-3,5.7780000000000001E-3,6.5100000000000002E-3,3.4380000000000001E-3,2.7060000000000001E-3,5.6571000000000003E-2,2.9300000000000002E-4,1.5557E-2,4.6080000000000001E-3,0.86271399999999998
06/01/23 12:00, 2023-07-02 24:00,,,,,,,,,,,,0.14921899999999999,9.0000000000000006E-5,4.3800000000000002E-4,1.6620000000000001E-3,2.7599999999999999E-4,6.8400000000000004E-4,7.4609999999999998E-3,2.2800000000000001E-4,1.4920000000000001E-3,1.1460000000000001E-3,0.29843799999999998,,,,,,,,,,,
06/01/23 12:00, 2023-07-03 24:00,0.48819499999999999,5.1770000000000002E-3,2.9710000000000001E-3,3.8189999999999999E-3,1.4430000000000001E-3,1.0330000000000001E-3,4.3526000000000002E-2,8.3500000000000002E-4,2.4819999999999998E-3,2.2920000000000002E-3,1.0646180000000001,,,,,,,,,,,,,,,,,,,,,,
07/03/23 12:00, 2023-07-30 24:00,,,,,,,,,,,,,,,,,,,,,,,0.83307100000000001,1.1235999999999999E-2,2.0663999999999998E-2,2.145E-2,8.3289999999999996E-3,9.3500000000000007E-3,2.3356999999999999E-2,1.807E-3,4.6709999999999998E-3,1.8543E-2,0.54500000000000004
07/04/23 12:00, 2023-07-30 24:00,0.13301499999999999,2.3E-5,2.3E-5,1.9900000000000001E-4,2.3E-5,2.3E-5,2.7470999999999999E-2,2.3E-5,4.7419999999999997E-3,2.3E-5,2.1007729999999998,,,,,,,,,,,,,,,,,,,,,,
07/03/23 12:00, 2023-07-31 24:00,,,,,,,,,,,,0.66293100000000005,3.0230000000000001E-3,3.7390000000000001E-3,1.1429E-2,2.068E-3,3.3679999999999999E-3,3.3147000000000003E-2,5.04E-4,6.6290000000000003E-3,4.1099999999999999E-3,1.3258620000000001,,,,,,,,,,,
07/31/23 12:00, 2023-09-03 24:00,,,,,,,,,,,,,,,,,,,,,,,1.389143,1.2231000000000001E-2,2.6178E-2,2.7465E-2,1.1158E-2,1.1801000000000001E-2,4.2743000000000003E-2,2.1459999999999999E-3,6.411E-3,2.4889999999999999E-2,0.61977099999999996
08/01/23 12:00, 2023-09-03 24:00,,,,,,,,,,,,0.55588199999999999,1.712E-3,2.2239999999999998E-3,4.8919999999999996E-3,1.11E-4,2.2460000000000002E-3,2.7793999999999999E-2,1.11E-4,5.5589999999999997E-3,1.5790000000000001E-3,1.1117649999999999,,,,,,,,,,,
07/31/23 12:00, 2023-09-04 24:00,0.26091599999999998,6.3E-5,2.8860000000000001E-3,6.9340000000000001E-3,1.7570000000000001E-3,1.882E-3,5.4357999999999997E-2,2.2000000000000001E-4,1.7937999999999999E-2,5.836E-3,2.7287520000000001,,,,,,,,,,,,,,,,,,,,,,
09/04/23 12:00, 2023-10-01 24:00,,,,,,,,,,,,,,,,,,,,,,,1.5602860000000001,1.9090000000000001E-3,4.5129999999999997E-3,4.5129999999999997E-3,2.8639999999999998E-3,1.823E-3,5.4428999999999998E-2,4.3399999999999998E-4,4.5360000000000001E-3,4.2529999999999998E-3,0.66221399999999997
09/05/23 12:00, 2023-10-02 24:00,8.5933999999999996E-2,1.0000000000000001E-5,4.5199999999999998E-4,7.3999999999999999E-4,1.75E-4,3.0299999999999999E-4,3.6299999999999999E-2,4.1E-5,3.5929999999999998E-3,4.7800000000000002E-4,0.58968399999999999,,,,,,,,,,,,,,,,,,,,,,
09/04/23 12:00, 2023-10-03 24:00,,,,,,,,,,,,9.5833000000000002E-2,6.02E-4,5.4799999999999998E-4,9.2800000000000001E-4,4.2200000000000001E-4,2.9500000000000001E-4,4.7920000000000003E-3,5.0000000000000002E-5,9.5799999999999998E-4,4.37E-4,0.191667,,,,,,,,,,,
10/02/23 12:00, 2023-10-29 24:00,,,,,,,,,,,,,,,,,,,,,,,1.220321,1.879E-3,2.4420000000000002E-3,5.2599999999999999E-3,2.8180000000000002E-3,1.503E-3,5.1929000000000003E-2,5.6400000000000005E-4,1.0385999999999999E-2,2.8180000000000002E-3,0.83085699999999996
10/03/23 12:00, 2023-11-01 24:00,0.25695499999999999,5.3000000000000001E-5,1.7590999999999999E-2,2.7040000000000002E-2,8.8090000000000009E-3,1.1745E-2,0.118061,2.1619999999999999E-3,3.2289999999999999E-2,1.9272999999999998E-2,2.8924840000000001,,,,,,,,,,,,,,,,,,,,,,
10/04/23 12:00, 2023-11-02 24:00,,,,,,,,,,,,0.39583299999999999,2.9610000000000001E-3,3.1029999999999999E-3,5.7629999999999999E-3,3.0079999999999998E-3,2.977E-3,1.9792000000000001E-2,1.488E-3,3.9579999999999997E-3,4.4019999999999997E-3,0.79166700000000001,,,,,,,,,,,
11/03/23 12:00, 2023-11-30 24:00,,,,,,,,,,,,0.72232099999999999,1.3349E-2,1.9068999999999999E-2,2.4559000000000001E-2,1.1008E-2,1.0748000000000001E-2,3.6116000000000002E-2,9.5299999999999996E-4,7.2230000000000003E-3,1.8780000000000002E-2,1.4446429999999999,,,,,,,,,,,
10/30/23 12:00, 2023-12-03 24:00,,,,,,,,,,,,,,,,,,,,,,,0.72788600000000003,1.1136E-2,1.0871E-2,1.8426999999999999E-2,1.1799E-2,6.6290000000000003E-3,3.3085999999999997E-2,2.1210000000000001E-3,4.9630000000000004E-3,1.6570999999999999E-2,0.51282899999999998
11/02/23 12:00, 2023-12-05 24:00,0.128722,1.1358999999999999E-2,4.2620000000000002E-3,7.9670000000000001E-3,4.084E-3,4.1289999999999999E-3,4.6606000000000002E-2,1.25E-3,1.1363E-2,9.1719999999999996E-3,0.62807500000000005,,,,,,,,,,,,,,,,,,,,,,
12/01/23 12:00, 2023-12-31 24:00,,,,,,,,,,,,0.40378799999999998,2.07E-2,2.1989000000000002E-2,2.4213999999999999E-2,1.2638999999999999E-2,1.1962E-2,2.0188999999999999E-2,9.0300000000000005E-4,4.0379999999999999E-3,1.7814E-2,0.80757599999999996,,,,,,,,,,,
12/04/23 12:00, 2023-12-31 24:00,,,,,,,,,,,,,,,,,,,,,,,0.36114299999999999,1.4406E-2,1.6489E-2,3.4194000000000002E-2,2.2391000000000001E-2,1.1455999999999999E-2,4.5143000000000003E-2,3.4710000000000001E-3,9.0290000000000006E-3,2.5862E-2,1.038286
12/06/23 12:00, 2023-12-31 24:00,0.29429499999999997,1.2104E-2,1.6074000000000001E-2,5.0825000000000002E-2,1.6268999999999999E-2,1.5488E-2,4.4345999999999997E-2,3.4169999999999999E-3,2.4337999999999999E-2,2.4566000000000001E-2,0.91110599999999997,,,,,,,,,,,,,,,,,,,,,,
